"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"JW9SRR","FM Repeater","Svalbard/Skolten","145.6000","145.0000","Svalbard","JQ88HD","91.5",""
"LA1HRR","Crossband link","Halden","144.6625","433.4000","Halden","JO59QC","77",""
"LA1KRR","FM/DMR Repeater","Kolsås","434.9250","432.9250","Asker og Bærum","JO59GW","110.9/ID: 242101",""
"LA1RRR","FM IVG","Heggedal","433.9875","433.9875","LA1TRF","JO59ES","123",""
"LA1SRR","FM/C4FM","Kornsjø","434.7250","432.7250","Halden","JO58TW","QRT 67","QRT"
"LA1TRR","FM Repeater","Halden","434.8750","432.8750","Halden","JO59QC","67",""
"LA1XRR","FM Repeater","Røyken","29.6500","29.5500","LA1TRF","JO59MS","QRT 110.9","QRT"
"LA1ZRR","FM IVG","Røyken","145.2375","145.2375","LA1TRF","JO59ES","123",""
"LA2BRR","FM Repeater","Bislingen","145.6375","145.0375","Ringerike","JP50HF","88.5",""
"LA2DRR","DMR Repeater","Raufoss","434.8250","432.8250","Gjøvik og Toten","JP50IR","ID:242603",""
"LA2ERR","FM Repeater","Gardermoen portabel","434.8500","432.8500","Gardermoen","na","1750",""
"LA2FRR","FM Repeater","Oppegård","1297.0000","1291.0000","Follo","JO59JS","",""
"LA2HRR","FM Repeater","Geitberget","145.7000","145.1000","Gudbrandsdal","JP42SF","88.5",""
"LA2JRR","FM Repeater","Jetta","145.6625","145.0625","Gudbrandsdal","JP41PV","88.5",""
"LA2KRR","FM/C4FM","Rafjellet","434.6500","432.6500","Kongsvinger","JP60BH","71.9",""
"LA2LRR","FM Repeater","Mjøsa portabel","434.7000","432.7000","Hamar","JP50OW","123",""
"LA2RRR","FM Repeater","Holtberget","51.8300","51.2300","Kongsvinger","JP50XE","71.9",""
"LA2TRR","Crossband link","Kråkhugu","145.2375","433.1750","Lillehammer","JP51CA","88.5","QRT"
"LA2XRR","FM Repeater","Rafjellet","145.7125","145.1125","Kongsvinger","JP60BH","71.9",""
"LA2YRR","DMR Repeater","Stangåsen/Oppegård","434.7500","432.7500","Follo","JO59JS","ID: 242103",""
"LA3ARR","FM Repeater","Hillestad","434.7625","432.7625","Viken Radioforening","JO49XN","123",""
"LA3DRR","FM Repeater","Vealøs/Skien","434.5875","432.5875","Tønsberg","JO49UF","74.4",""
"LA3ERR","Crossband FM","Stokke","144.6875","434.7625","Viken Radioforening","JO59DE","TX-RX/RX-TX",""
"LA3FRR","FM Repeater","Halden","145.7750","145.1750","Halden","JO59QC","67",""
"LA3HRR","Crossband link","Geilotoppen","144.6375","433.1250","Hallingdal","JP40CN","74.4",""
"LA3JRR","FM Repeater","Kvelde/Jordstøyp","434.6750","432.6750","Tønsberg","JO49XE","74.4",""
"LA3KRR-1","Crossband FM","Bronane/Drangedal","145.5625","144.9625","Tønsberg","JO49LF","",""
"LA3KRR-2","Crossband FM","Vealøs/Skien","434.5875","432.5875","Tønsberg","JO49UF","",""
"LA3NRR","Crossband link","Notodden","145.0500","433.0875","Notodden","JO49ON","74.4/433.0875",""
"LA3RRR","FM Repeater","Vestre Buttentjern","145.6875","145.0875","Ringerike","JP50DF","123",""
"LA3SRR","Crossband link","Sandefjord","145.2750","433.1750","Sandefjord","JO59CE","74.4",""
"LA3VRR","FM/C4FM","Vealøs/Skien","434.6125","432.6125","Grenland","JO49UF","74.4",""
"LA3XRR","Crossband FM","Hvittingen/Sande","145.2250","144.6250","Tønsberg","JO59CN","74.4/433.3125",""
"LA4ARR","FM Repeater","Hestheia/Greipstad","434.9375","4329375.0000","Kristiansand","JO38WF","123",""
"LA4BRR","FM Repeater","Bru","434.9000","432.9000","Sandnes","JO29TA","123",""
"LA4CRR","Crossband FM","Mandal/Djubedalsheia","144.6500","434.8250","Sandnes","JO38RC","77",""
"LA4ERR","FM Repeater","Egerøy","434.8750","432.8750","Sandnes","JO28WK","123",""
"LA4FRR","FM Repeater","Fjæreheia/Grimstad","145.7250","145.1250","Arendal","JO48GJ","123",""
"LA4JRR","FM/C4FM","Laland/Særheim","434.7000","432.7000","Jæren","JO28TS","QRT","QRT"
"LA4KRR","FM Repeater","Kvinesheia","434.8250","432.8250","Sandnes","JO38MH","123",""
"LA4LRR","FM Repeater","Stavanger/Lifjell","145.6375","145.0375","Sandnes","JO28VW","123",""
"LA4MRR","FM Repeater","Varmestø","434.9000","432.9000","Mandal","JO38RC","1750",""
"LA4ORR","FM Repeater","Odderøya","145.6125","145.0125","Kristiansand","JO48AD","123",""
"LA4RRR","FM Repeaterlink","Reinsnuten","145.0125","145.6125","STF Sauda","JO39FO","74.4",""
"LA4SRR","FM Repeater","Bjerkreim","145.7125","145.1125","Sandnes","JO28XP","79.7",""
"LA4URR","FM Repeater","Aasvik","434.8750","432.8750","Risør","JP40OR","1750",""
"LA4WRR","FM Repeater","Bogafjell","434.8500","432.8500","Sandnes","JO28UT","123",""
"LA5AR","FM Repeater","Vaktårnheia/Arendal","145.7000","145.1000","Arendal","JO48JL","123",""
"LA5ARR","FM Repeater","Tverrberget","434.7750","432.7750","Gjøvik og Toten","JP40QU","71.9",""
"LA5BR","FM Repeater","Rundemannen","145.7500","145.1500","Bergen","JP20QJ","97.4",""
"LA5CR","FM Repeater","Egersund/Gaupelemfjell","434.6750","432.6750","Jæren","JO38DO","107.2",""
"LA5CRR","Crossband/link","Østre Nattlansfjell","144.6500","433.0500","Bergen","JP20QI","2m/70cm TX/RX",""
"LA5DR","FM Repeater","Nordbykollen","145.7250","145.1250","Drammen","JO59CR","74.4",""
"LA5ER","FM Repeater","Eirefjell/Tokke","145.7125","145.1125","Grenland","JO49BL","74.4","Planlagt"
"LA5FR","FM/C4FM","Svartåsen/Enebakk","145.7875","145.1875","Follo","JO59MS","123",""
"LA5GR","FM Repeater","Vealøs/Skien","145.6500","145.0500","Grenland","JO49UF","74.4",""
