repeater_call_sign,kind,enabled,label,note,rx_hz,tx_hz,fm_bandwidth,rx_tone_kind,rx_ctcss_hz,rx_dcs_code,tx_tone_kind,tx_ctcss_hz,tx_dcs_code,dmr_color_code,dmr_repeater_id,dmr_network,dstar_mode,dstar_gateway_call_sign,dstar_reflector,c4fm_wires_x_node_id,c4fm_room,aprs_mode,aprs_path,ssb_sideband
LA1OS,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Igate,,
LA3BRR,Fm,true,VHF,,144962500,145562500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3DRR,Fm,true,UHF,,432612500,434612500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3GRR,Fm,true,VHF,,145012500,145612500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3GRR,Fm,true,UHF,,430587500,432587500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3JRR,Fm,true,UHF,,432675000,434675000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3NRR,Fm,true,UHF,,432825000,434825000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3SRR,Fm,true,VHF,,144675000,145275000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3SRR,Fm,true,UHF,,430587500,432587500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3VRR,C4fm,true,UHF,,432587500,434587500,,,,,,,,,,,,,,,,,,
LA3VRR,Fm,true,UHF,,432587500,434587500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3XRR,Fm,true,VHF,,144625000,145225000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA3XRR,Fm,true,UHF,,430587500,432587500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA4A_,Fm,true,UHF,,432700000,434700000,Narrow,None,,,None,,,,,,,,,,,,,
LA4A_,Fm,true,VHF,,145175000,145775000,Narrow,None,,,None,,,,,,,,,,,,,
LA4A_,Dmr,true,UHF,,432700000,434700000,,,,,,,,1,,unknown,,,,,,,,
LA4A_,C4fm,true,UHF,,432700000,434700000,,,,,,,,,,,,,,,,,,
LA4ARR,Fm,true,UHF,,432625000,434625000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA4FRR,Fm,true,VHF,,145125000,145725000,Narrow,None,,,None,,,,,,,,,,,,,
LA4ORR,Fm,true,VHF,,145012500,145612500,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA5AR,Fm,true,VHF,,145100000,145700000,Narrow,None,,,None,,,,,,,,,,,,,
LA5ER,Fm,true,VHF,,145112500,145712500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA5GR,Fm,true,VHF,,145050000,145650000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA5HR,Fm,true,VHF,,145025000,145625000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA5OR,Fm,true,VHF,,145000000,145600000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA5SR,Fm,true,VHF,,145150000,145750000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA6FR,Fm,true,VHF,,145025000,145625000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA6HR,Dmr,true,UHF,,432650000,434650000,,,,,,,,1,242803,unknown,,,,,,,,
LA6JR,Fm,true,VHF,,145000000,145600000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA6KR,Fm,true,VHF,,145150000,145750000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA6SR,Fm,true,VHF,,145175000,145775000,Narrow,None,,,None,,,,,,,,,,,,,
LA6YR,Fm,true,UHF,,432850000,434850000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA7ER,Fm,true,VHF,,145050000,145650000,Narrow,None,,,None,,,,,,,,,,,,,
LA7LR,Fm,true,UHF,,432925000,434925000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA7OR,Fm,true,UHF,,432775000,434775000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA7ORR,Fm,true,VHF,,145175000,145775000,Narrow,CTCSS,85.4,,CTCSS,85.4,,,,,,,,,,,,
LA7RR,Fm,true,VHF,,145100000,145700000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA7SR,Fm,true,UHF,,432800000,434800000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LA8PR,Fm,true,UHF,,432900000,434900000,Narrow,CTCSS,85.4,,CTCSS,85.4,,,,,,,,,,,,
LA8QR,Fm,true,VHF,,145112500,145712500,Narrow,CTCSS,85.4,,CTCSS,85.4,,,,,,,,,,,,
LA8TR,Fm,true,VHF,,145150000,145750000,Narrow,CTCSS,85.4,,CTCSS,85.4,,,,,,,,,,,,
LA9MR,Fm,true,VHF,,145075000,145675000,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LA9NR,Fm,true,UHF,,432950000,434950000,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LD1OA,Fm,true,UHF,,432887500,434887500,Narrow,CTCSS,123.0,,CTCSS,123.0,,,,,,,,,,,,
LD1OE,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD1OT,Fm,true,A,,1296500000,1297100000,Narrow,None,,,None,,,,,,,,,,,,,
LD1OT,Fm,true,B,,432862500,434862500,Narrow,None,,,None,,,,,,,,,,,,,
LD3GL,Dmr,true,UHF,,432512500,434512500,,,,,,,,1,242701,unknown,,,,,,,,
LD3ST,Dmr,true,UHF,,432550000,434550000,,,,,,,,1,242801,unknown,,,,,,,,
LD3TD,Fm,true,UHF,,432562500,434562500,Narrow,CTCSS,74.4,,CTCSS,74.4,,,,,,,,,,,,
LD4AA,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4AI,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4AT,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4GS,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4LF,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4SH,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD4VS,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD7TB,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Igate,,
LD7TD,Dmr,true,UHF,,432700000,434700000,,,,,,,,1,,unknown,,,,,,,,
LD7TG,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Igate,,
LD7TH,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD7TO,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Igate,,
LD7TR,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Igate,,
LD7TS,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
LD7TT,Aprs,true,VHF,,144800000,144800000,,,,,,,,,,,,,,,,Digipeater,,
