call_sign,status,address,maidenhead,owner,service,tx,offset,ctcss_tx,ctcss_rx,dmr_id,agl,asl,antenna_gain_dbd,power_w
LA5OR,QRV,"Tryvann, Oslo",JO59ix,LA4O,FM_NARROW,145600000,-600000,123.0,123.0,,,,,
LA7OR,QRV,"Brannfjell, Oslo",JO59jv,LA4O,FM_NARROW,434775000,-2000000,123.0,123.0,,,,,
LD1OA,QRV,"Røverkollen, Oslo",JO59kx,LA4O,FM_NARROW,434887500,-2000000,123.0,123.0,,,,,
LD1OT-A,QRV,"Tryvann, Oslo",JO59ix,LA4O,FM_NARROW,1297100000,-600000,,,,,,,
LD1OT-B,QRV,"Tryvann, Oslo",JO59ix,LA4O,FM_NARROW,434862500,-2000000,,,,,,,
LA1OS,QRV,Oslo sentrum,JO59iv,LA4O,APRS_IGATE,144800000,,,,,,,,
LD1OE,QRV,"Brannfjell, Oslo",JO59jv,LA4O,APRS_DIGIPEATER,144800000,,,,,,,,
LA3XRR,,Hvittingen,JO59cn,LA1T,FM_NARROW,145225000,-600000,74.4,74.4,,11,415,5.5 dBd,20W
LA3XRR,,Hvittingen,JO59cn,LA1T,FM_NARROW,432587500,-2000000,74.4,74.4,,11,415,5.5 dBd,20W
LA3SRR,,Korpås (Brunlanes),JO59xa,LA1T,FM_NARROW,145275000,-600000,74.4,74.4,,3,168,5.5 dBd,20 W
LA3SRR,,Korpås (Brunlanes),JO59xa,LA1T,FM_NARROW,432587500,-2000000,74.4,74.4,,3,168,5.5 dBd,20 W
